--- RAPPORT DE MIGRATION DU 2026-01-10 14:25:21.649251 ---
Total à traiter : 98

ID    | ANCIEN CHEMIN LOCAL                                          | NOUVELLE URL CLOUDINARY
------------------------------------------------------------------------------------------------------------------------------------------------------
198   | storage/media/images/img4surgical-neck-of-humerus-fracture-1 (1).jpg | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051528/sti_medical_expert/radiology/img_198_img4surgical-neck-of-humerus-fracture-1%20%281%29.jpg
199   | storage/media/images/img6cascliniqueIMGhemmoragiecerebracacIMG2.jpg | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051529/sti_medical_expert/radiology/img_199_img6cascliniqueIMGhemmoragiecerebracacIMG2.jpg
200   | storage/media/images/radiocongestiveCardiaque.jpg            | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051529/sti_medical_expert/radiology/img_200_radiocongestiveCardiaque.jpg
201   | storage/media/images/img7frontal.jpg                         | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051530/sti_medical_expert/radiology/img_201_img7frontal.jpg
202   | storage/media/images/img7lateral.jpg                         | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051532/sti_medical_expert/radiology/img_202_img7lateral.jpg
203   | storage/media/images/img9frontal.jpeg                        | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051533/sti_medical_expert/radiology/img_203_img9frontal.jpg
204   | storage/media/images/img9lateral.jpeg                        | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051534/sti_medical_expert/radiology/img_204_img9lateral.jpg
205   | storage/media/images/img10axianonconstrast.jpg               | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051535/sti_medical_expert/radiology/img_205_img10axianonconstrast.jpg
206   | storage/media/images/img10conronalnoncontrast.jpg            | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051536/sti_medical_expert/radiology/img_206_img10conronalnoncontrast.jpg
207   | storage/media/images/img11Longitunal1.jpg                    | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051537/sti_medical_expert/radiology/img_207_img11Longitunal1.jpg
208   | storage/media/images/img11Longitunal2.jpg                    | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051539/sti_medical_expert/radiology/img_208_img11Longitunal2.jpg
209   | storage/media/images/img11Results.jpg                        | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051539/sti_medical_expert/radiology/img_209_img11Results.jpg
210   | storage/media/images/img13frontal.jpg                        | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051540/sti_medical_expert/radiology/img_210_img13frontal.jpg
211   | storage/media/images/img13lateral.jpg                        | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051541/sti_medical_expert/radiology/img_211_img13lateral.jpg
212   | storage/media/images/img14Chamber2CINE.jpg                   | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051542/sti_medical_expert/radiology/img_212_img14Chamber2CINE.jpg
213   | storage/media/images/img14Chamber4CINE.jpg                   | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051544/sti_medical_expert/radiology/img_213_img14Chamber4CINE.jpg
214   | storage/media/images/img17axialcplusArterialophase.jpeg      | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051545/sti_medical_expert/radiology/img_214_img17axialcplusArterialophase.jpg
215   | storage/media/images/img17AxialNonContrast.jpeg              | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051546/sti_medical_expert/radiology/img_215_img17AxialNonContrast.jpg
216   | storage/media/images/img19AxialFlair.jpeg                    | https://res.cloudinary.com/dqwzecrof/image/upload/v1768051547/sti_medical_expert/radiology/img_216_img19AxialFlair.jpg
